distance,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,consume
28.0,26.0,21.5,12.0,0.0,0.0,0.0,0.0,5.0
12.0,30.0,21.5,13.0,0.0,0.0,0.0,0.0,4.2
11.2,38.0,21.5,15.0,0.0,0.0,0.0,0.0,5.5
12.9,36.0,21.5,14.0,0.0,0.0,0.0,0.0,3.9
18.5,46.0,21.5,15.0,0.0,0.0,0.0,0.0,4.5
8.3,50.0,21.5,10.0,0.0,0.0,0.0,0.0,6.4
7.8,43.0,21.5,11.0,0.0,0.0,0.0,0.0,4.4
12.3,40.0,21.5,6.0,0.0,0.0,0.0,0.0,5.0
4.9,26.0,21.5,4.0,0.0,0.0,0.0,0.0,6.4
11.9,30.0,21.5,9.0,0.0,0.0,0.0,0.0,5.3
12.4,42.0,21.5,4.0,0.0,0.0,0.0,0.0,5.6
11.8,38.0,21.5,0.0,0.0,0.0,0.0,0.0,4.6
12.3,59.0,21.5,10.0,0.0,0.0,0.0,0.0,5.9
24.7,58.0,21.5,12.0,0.0,0.0,0.0,0.0,5.1
12.4,46.0,21.5,11.0,0.0,0.0,0.0,0.0,4.7
17.3,24.0,21.5,5.0,0.0,0.0,0.0,0.0,5.1
33.4,36.0,21.5,3.0,0.0,0.0,0.0,0.0,5.6
11.8,32.0,21.5,3.0,0.0,0.0,0.0,0.0,5.1
25.9,39.0,21.5,8.0,0.0,0.0,0.0,0.0,4.9
11.8,40.0,21.5,4.0,0.0,0.0,0.0,0.0,4.7
25.3,32.0,21.5,3.0,0.0,0.0,0.0,0.0,5.5
14.2,38.0,21.5,1.0,0.0,0.0,0.0,0.0,5.9
17.9,37.0,21.5,1.0,0.0,0.0,0.0,0.0,5.7
11.8,36.0,21.5,1.0,0.0,0.0,0.0,0.0,4.7
12.3,62.0,21.5,6.0,0.0,0.0,0.0,0.0,5.9
12.4,57.0,21.5,9.0,0.0,0.0,0.0,0.0,4.1
18.4,21.0,22.5,2.0,0.0,0.0,0.0,0.0,5.7
18.4,28.0,21.5,3.0,0.0,0.0,0.0,0.0,5.8
18.3,29.0,21.5,1.0,0.0,0.0,0.0,0.0,5.5
18.4,35.0,21.5,4.0,0.0,0.0,0.0,0.0,5.7
12.3,51.0,21.5,11.0,0.0,0.0,0.0,0.0,5.3
11.8,29.0,21.5,10.0,0.0,0.0,0.0,0.0,5.0
12.3,58.0,21.5,8.0,0.0,0.0,0.0,0.0,5.6
32.6,40.0,21.5,7.0,0.0,0.0,0.0,0.0,4.8
19.0,36.0,21.5,7.0,0.0,0.0,0.0,0.0,4.3
12.1,36.0,21.5,8.0,0.0,0.0,0.0,0.0,5.7
20.0,37.0,21.5,4.0,0.0,0.0,0.0,0.0,5.2
4.9,26.0,21.5,6.0,0.0,0.0,0.0,0.0,7.4
11.8,23.0,21.5,9.0,0.0,0.0,0.0,0.0,4.8
12.3,58.0,21.5,7.0,0.0,0.0,0.0,0.0,6.5
12.4,55.0,21.5,7.0,0.0,1.0,1.0,0.0,4.0
4.5,29.0,21.5,7.0,0.0,1.0,0.0,0.0,5.0
11.7,37.0,21.5,6.0,0.0,0.0,0.0,0.0,4.6
10.2,44.0,21.5,7.0,0.0,0.0,0.0,0.0,4.3
5.4,32.0,21.5,7.0,1.0,0.0,0.0,0.0,3.3
2.0,21.0,21.5,4.0,1.0,0.0,0.0,0.0,9.9
14.2,32.0,21.5,7.0,1.0,0.0,0.0,0.0,5.1
16.0,25.0,21.5,8.0,1.0,0.0,0.0,0.0,4.9
11.8,25.0,21.5,11.0,1.0,0.0,0.0,0.0,4.9
27.3,36.0,21.5,10.0,1.0,0.0,0.0,0.0,4.7
11.8,29.0,21.5,5.0,1.0,0.0,1.0,0.0,5.1
10.6,63.0,21.5,6.0,1.0,0.0,0.0,0.0,4.9
11.6,61.0,21.5,7.0,1.0,0.0,0.0,0.0,4.2
13.1,46.0,21.5,6.0,1.0,0.0,1.0,0.0,6.1
6.1,28.0,21.5,8.0,1.0,0.0,0.0,0.0,6.4
153.5,82.0,21.5,3.0,1.0,0.0,1.0,0.0,4.9
11.8,24.0,21.5,7.0,1.0,0.0,0.0,0.0,4.9
12.3,61.0,21.5,8.0,1.0,0.0,0.0,0.0,6.2
12.4,57.0,21.5,8.0,1.0,0.0,0.0,0.0,4.2
12.3,52.0,21.5,8.0,1.0,0.0,1.0,0.0,5.7
2.9,18.0,21.5,9.0,1.0,1.0,1.0,0.0,7.9
9.8,24.0,21.5,6.0,1.0,0.0,0.0,0.0,5.8
6.8,26.0,21.5,6.0,1.0,0.0,0.0,0.0,5.3
12.4,24.0,21.5,7.0,1.0,0.0,0.0,0.0,5.4
12.4,57.0,21.5,8.0,1.0,0.0,0.0,0.0,4.7
11.8,41.0,21.5,6.0,1.0,0.0,0.0,0.0,4.6
12.3,55.0,21.5,8.0,1.0,0.0,0.0,0.0,5.4
14.0,40.0,21.5,8.0,1.0,0.0,0.0,0.0,4.3
11.8,37.0,21.5,4.0,1.0,1.0,0.0,0.0,4.5
12.3,55.0,21.5,12.0,1.0,0.0,0.0,0.0,5.2
2.0,20.0,21.5,10.0,1.0,0.0,0.0,0.0,6.2
13.9,29.0,21.5,6.0,1.0,0.0,0.0,0.0,5.1
9.7,42.0,21.5,8.0,1.0,0.0,0.0,0.0,3.9
11.6,25.0,21.5,6.0,1.0,0.0,0.0,0.0,5.0
14.2,38.0,21.5,7.0,1.0,0.0,0.0,0.0,5.4
11.8,39.0,21.5,6.0,1.0,0.0,0.0,0.0,4.5
24.8,50.0,21.5,9.0,1.0,0.0,0.0,0.0,5.1
12.4,56.0,21.5,7.0,1.0,0.0,0.0,0.0,4.7
34.8,28.0,20.0,4.0,1.0,0.0,0.0,0.0,4.0
14.2,36.0,20.0,6.0,1.0,0.0,0.0,0.0,5.4
5.2,39.0,20.0,10.0,1.0,0.0,0.0,0.0,4.5
10.5,42.0,20.0,10.0,1.0,0.0,0.0,0.0,3.6
12.3,57.0,20.0,10.0,1.0,0.0,0.0,0.0,5.2
11.8,25.0,20.0,11.0,1.0,0.0,0.0,0.0,4.9
12.3,58.0,20.0,11.0,1.0,0.0,1.0,0.0,6.2
13.2,51.0,20.0,11.0,1.0,0.0,1.0,0.0,4.3
13.0,45.0,20.0,11.0,1.0,0.0,1.0,0.0,5.0
12.9,32.0,20.0,11.0,1.0,0.0,0.0,0.0,5.1
13.9,22.0,20.0,8.0,1.0,0.0,0.0,0.0,5.6
11.8,37.0,20.0,6.0,1.0,0.0,0.0,0.0,4.3
12.2,60.0,20.0,11.0,1.0,0.0,0.0,0.0,5.8
12.5,51.0,20.0,13.0,1.0,0.0,0.0,0.0,4.0
12.4,43.0,21.333334,10.0,1.0,0.0,0.0,0.0,4.7
11.8,21.0,20.0,9.0,1.0,1.0,1.0,0.0,5.9
11.8,52.0,21.555555,11.0,1.0,0.0,0.0,0.0,5.3
12.5,57.0,20.0,11.0,1.0,0.0,0.0,0.0,4.2
15.7,33.0,21.722221,9.0,1.0,0.0,0.0,0.0,5.3
12.9,35.0,22.0,9.0,1.0,0.0,0.0,0.0,5.7
6.4,37.0,21.38889,10.0,1.0,0.0,0.0,0.0,4.4
5.3,34.0,21.61111,9.0,1.0,0.0,0.0,0.0,4.1
26.2,71.0,21.0,8.0,1.0,1.0,1.0,0.0,5.8
18.8,62.0,21.222221,9.0,1.0,0.0,1.0,0.0,5.0
4.9,25.0,21.0,12.0,1.0,0.0,1.0,0.0,6.9
12.4,18.0,21.0,11.0,1.0,1.0,1.0,0.0,5.4
22.9,45.0,20.5,7.0,1.0,0.0,0.0,0.0,5.3
4.9,26.0,21.0,1.0,1.0,0.0,0.0,0.0,6.5
11.8,36.0,21.0,4.0,1.0,0.0,0.0,0.0,4.7
16.6,56.0,21.0,7.0,1.0,0.0,0.0,0.0,5.1
12.4,37.0,21.0,7.0,1.0,0.0,0.0,0.0,5.7
15.9,25.0,21.0,7.0,1.0,0.0,0.0,0.0,5.4
5.1,21.0,23.5,5.0,1.0,0.0,0.0,0.0,8.7
22.4,66.0,20.5,7.0,1.0,0.0,0.0,0.0,4.9
31.1,42.0,20.5,7.0,1.0,0.0,0.0,0.0,4.7
4.9,27.0,20.5,3.0,1.0,0.0,0.0,0.0,6.3
11.8,26.0,23.0,4.0,1.0,0.0,1.0,0.0,5.1
22.9,42.0,23.0,4.0,1.0,0.0,1.0,0.0,6.0
12.4,38.0,23.0,1.0,1.0,0.0,1.0,0.0,4.6
12.9,40.0,23.0,4.0,1.0,0.0,0.0,0.0,5.8
11.8,43.0,23.0,0.0,1.0,0.0,0.0,0.0,5.1
12.2,58.0,23.0,2.0,1.0,0.0,0.0,0.0,5.8
24.8,55.0,23.0,3.0,1.0,0.0,0.0,0.0,4.6
14.2,24.0,23.0,8.0,1.0,0.0,0.0,0.0,5.6
11.8,38.0,23.0,0.0,1.0,0.0,1.0,0.0,4.6
12.2,57.0,23.0,0.0,1.0,0.0,1.0,0.0,6.3
24.7,56.0,25.0,1.0,1.0,0.0,0.0,0.0,5.5
6.8,46.0,24.0,2.0,1.0,0.0,0.0,0.0,4.3
17.3,37.0,21.5,1.0,1.0,0.0,0.0,0.0,5.6
11.8,44.0,21.5,-3.0,1.0,0.0,0.0,0.0,4.3
15.9,46.0,21.5,5.0,1.0,0.0,0.0,0.0,5.7
5.1,39.0,21.5,4.0,1.0,0.0,0.0,0.0,6.4
16.1,33.0,21.5,6.0,1.0,0.0,0.0,0.0,4.5
11.8,43.0,21.5,3.0,1.0,0.0,0.0,0.0,4.5
4.2,26.0,21.5,5.0,1.0,0.0,0.0,0.0,6.0
17.4,30.0,21.5,5.0,1.0,0.0,0.0,0.0,5.1
23.5,25.0,21.5,5.0,1.0,0.0,1.0,0.0,6.0
11.8,38.0,21.5,5.0,1.0,0.0,1.0,0.0,4.5
12.3,61.0,21.5,10.0,1.0,0.0,1.0,0.0,6.1
16.1,24.0,21.5,7.0,0.0,0.0,1.0,0.0,5.4
11.8,40.0,21.5,10.0,0.0,0.0,1.0,0.0,4.3
12.3,58.0,21.5,13.0,0.0,0.0,0.0,0.0,5.4
12.4,49.0,21.5,17.0,0.0,0.0,0.0,0.0,4.3
7.0,25.0,21.5,17.0,0.0,0.0,0.0,0.0,5.2
11.8,37.0,21.5,10.0,0.0,0.0,0.0,0.0,4.1
20.1,41.0,21.5,18.0,0.0,0.0,0.0,0.0,4.4
20.8,45.0,21.5,10.0,0.0,0.0,0.0,0.0,4.5
1.7,14.0,21.5,10.0,0.0,0.0,1.0,0.0,10.8
35.9,45.0,21.5,12.0,0.0,0.0,0.0,0.0,4.7
36.9,52.0,21.5,5.0,0.0,0.0,0.0,0.0,4.8
16.8,46.0,21.5,8.0,0.0,0.0,0.0,0.0,4.0
9.9,28.0,21.5,9.0,0.0,0.0,0.0,0.0,5.0
22.9,61.0,21.5,7.0,0.0,0.0,1.0,0.0,4.6
17.3,61.0,21.5,6.0,0.0,1.0,1.0,0.0,5.0
11.8,37.0,21.5,7.0,0.0,0.0,0.0,0.0,4.3
36.6,80.0,21.5,7.0,0.0,0.0,1.0,0.0,5.2
44.9,62.0,21.5,8.0,0.0,0.0,0.0,0.0,4.7
11.8,34.0,21.5,9.0,0.0,0.0,1.0,0.0,4.2
21.6,44.0,21.5,9.0,0.0,0.0,1.0,0.0,5.3
39.4,60.0,21.5,9.0,0.0,0.0,1.0,0.0,5.3
5.1,39.0,21.5,4.0,0.0,0.0,0.0,0.0,8.1
26.6,38.0,21.5,7.0,0.0,0.0,0.0,0.0,4.8
53.2,71.0,21.5,2.0,0.0,0.0,0.0,0.0,5.1
18.9,53.0,21.5,2.0,0.0,0.0,0.0,0.0,4.4
43.5,80.0,21.5,3.0,0.0,0.0,0.0,0.0,5.0
6.1,26.0,21.5,5.0,0.0,0.0,0.0,0.0,6.3
16.4,49.0,21.5,5.0,0.0,0.0,0.0,0.0,4.8
12.3,40.0,21.5,6.0,0.0,0.0,0.0,0.0,6.1
21.1,36.0,21.5,8.0,0.0,0.0,0.0,0.0,4.6
21.1,43.0,21.5,7.0,0.0,0.0,0.0,0.0,4.8
22.7,55.0,21.5,6.0,0.0,0.0,0.0,0.0,4.7
44.4,38.0,21.5,8.0,0.0,0.0,0.0,0.0,4.8
35.8,51.0,21.5,6.0,0.0,0.0,0.0,0.0,4.4
11.8,44.0,21.5,0.0,0.0,0.0,0.0,0.0,4.9
26.2,42.0,21.5,6.0,0.0,0.0,0.0,0.0,4.9
40.6,44.0,21.0,3.0,0.0,0.0,0.0,0.0,4.4
12.4,38.0,21.0,-5.0,0.0,0.0,0.0,0.0,5.3
14.1,47.0,21.0,-3.0,0.0,0.0,0.0,0.0,5.3
58.7,75.0,21.0,0.0,0.0,0.0,0.0,0.0,4.8
16.2,29.0,21.0,0.0,0.0,0.0,0.0,0.0,5.2
12.3,50.0,22.5,0.0,0.0,0.0,0.0,0.0,4.9
12.3,52.0,22.5,0.0,0.0,1.0,1.0,0.0,7.1
12.4,51.0,22.5,1.0,0.0,0.0,0.0,0.0,5.2
31.8,59.0,22.5,3.0,0.0,0.0,0.0,0.0,4.7
12.3,55.0,22.5,8.0,0.0,0.0,0.0,0.0,5.1
51.6,73.0,22.5,12.0,0.0,0.0,0.0,0.0,5.0
38.6,44.0,22.5,10.0,0.0,0.0,0.0,0.0,4.6
12.3,41.0,22.5,7.0,0.0,0.0,0.0,0.0,4.8
81.2,69.0,22.0,13.0,0.0,0.0,0.0,0.0,4.4
130.3,85.0,22.0,12.0,0.0,0.0,0.0,0.0,4.6
67.2,67.0,22.0,18.0,0.0,0.0,0.0,0.0,4.3
43.7,44.0,22.0,9.0,1.0,0.0,1.0,0.0,4.7
12.1,43.0,22.0,4.0,1.0,0.0,0.0,0.0,4.2
56.1,82.0,22.0,13.0,1.0,0.0,0.0,0.0,4.8
39.0,61.0,22.0,16.0,1.0,0.0,0.0,0.0,4.1
11.8,41.0,21.5,13.0,1.0,0.0,0.0,0.0,4.5
38.5,63.0,21.5,14.0,1.0,0.0,0.0,0.0,4.8
28.2,54.0,21.5,14.0,1.0,0.0,0.0,0.0,4.6
2.9,24.0,21.5,14.0,1.0,0.0,0.0,0.0,7.4
6.1,24.0,21.5,13.0,1.0,0.0,0.0,0.0,5.6
19.6,43.0,21.5,13.0,1.0,0.0,0.0,0.0,4.9
22.2,42.0,21.722221,15.0,1.0,0.0,0.0,0.0,3.8
13.6,44.0,19.0,18.0,1.0,0.0,0.0,0.0,4.5
12.6,33.0,22.61111,17.0,1.0,0.0,0.0,0.0,4.1
8.7,28.0,22.5,12.0,1.0,1.0,1.0,0.0,5.3
7.9,31.0,22.5,12.0,1.0,1.0,0.0,0.0,4.7
2.4,26.0,20.0,10.0,1.0,0.0,0.0,0.0,9.0
4.9,26.0,20.0,10.0,1.0,0.0,0.0,0.0,6.3
18.1,36.0,20.0,19.0,1.0,0.0,0.0,0.0,3.6
25.9,39.0,20.0,21.0,1.0,0.0,0.0,0.0,3.7
14.1,22.0,20.0,12.0,1.0,0.0,0.0,0.0,5.0
13.4,31.0,20.0,9.0,1.0,0.0,0.0,0.0,5.5
6.4,33.0,20.0,8.0,1.0,0.0,0.0,0.0,4.7
12.9,42.0,20.0,13.0,1.0,0.0,0.0,0.0,4.5
12.1,33.0,22.5,5.0,1.0,0.0,0.0,0.0,4.4
15.7,32.0,22.5,13.0,1.0,0.0,0.0,0.0,4.1
16.2,26.0,22.5,11.0,1.0,0.0,0.0,0.0,4.4
12.8,22.0,22.5,12.0,1.0,0.0,0.0,0.0,4.6
19.0,58.0,22.5,17.0,1.0,0.0,0.0,1.0,4.4
29.0,27.0,22.5,12.0,1.0,0.0,0.0,0.0,4.0
12.1,32.0,22.5,9.0,1.0,0.0,0.0,0.0,5.0
12.3,55.0,22.5,10.0,1.0,0.0,0.0,0.0,5.2
24.8,56.0,22.5,11.0,1.0,0.0,0.0,0.0,4.0
12.9,34.0,22.5,8.0,1.0,0.0,1.0,0.0,5.1
11.8,39.0,22.5,3.0,1.0,0.0,0.0,0.0,4.5
31.4,62.0,22.5,11.0,1.0,0.0,0.0,0.0,4.6
19.0,53.0,22.5,4.0,1.0,0.0,1.0,0.0,5.1
13.0,38.0,22.5,3.0,1.0,1.0,1.0,0.0,5.7
11.8,42.0,22.5,2.0,1.0,0.0,0.0,0.0,4.8
13.0,32.0,22.5,4.0,1.0,0.0,0.0,0.0,6.2
11.8,43.0,22.5,1.0,1.0,0.0,0.0,0.0,5.0
27.1,69.0,22.5,8.0,1.0,0.0,0.0,0.0,5.0
5.2,38.0,22.5,8.0,1.0,0.0,0.0,0.0,4.6
19.0,29.0,22.5,10.0,0.0,0.0,0.0,0.0,4.5
12.4,38.0,22.5,1.0,0.0,0.0,0.0,0.0,4.8
25.2,55.0,22.5,9.0,0.0,0.0,0.0,0.0,5.0
14.3,36.0,22.5,10.0,0.0,0.0,0.0,0.0,4.8
11.8,40.0,22.5,2.0,0.0,0.0,0.0,0.0,4.6
16.9,48.0,22.5,9.0,0.0,0.0,0.0,1.0,4.5
12.4,55.0,22.5,11.0,0.0,0.0,0.0,1.0,4.6
17.4,36.0,22.5,12.0,0.0,0.0,0.0,1.0,4.4
9.2,33.0,22.5,8.0,0.0,0.0,1.0,0.0,5.7
12.3,54.0,22.5,10.0,0.0,0.0,1.0,0.0,5.8
13.0,32.0,22.5,10.0,0.0,0.0,0.0,0.0,5.9
11.8,16.0,22.5,6.0,0.0,0.0,1.0,0.0,6.1
13.0,37.0,22.5,11.0,0.0,0.0,1.0,0.0,5.7
12.3,42.0,22.5,10.0,0.0,0.0,0.0,0.0,5.0
12.3,57.0,22.5,15.0,0.0,0.0,0.0,1.0,5.2
12.5,57.0,22.5,16.0,0.0,0.0,0.0,1.0,4.3
31.5,30.0,22.5,16.0,0.0,0.0,0.0,1.0,4.1
11.8,42.0,22.5,8.0,0.0,0.0,0.0,0.0,4.4
24.9,53.0,22.5,14.0,0.0,0.0,0.0,0.0,4.5
17.0,46.0,22.5,14.0,0.0,0.0,0.0,1.0,3.9
2.0,20.0,22.5,14.0,0.0,0.0,0.0,0.0,8.1
11.8,33.0,22.5,8.0,0.0,0.0,0.0,0.0,4.4
7.4,31.0,22.5,12.0,0.0,0.0,0.0,0.0,5.0
12.4,55.0,22.5,14.0,0.0,0.0,0.0,1.0,4.7
2.0,22.0,22.5,14.0,0.0,0.0,0.0,0.0,6.0
14.0,41.0,22.5,8.0,0.0,0.0,0.0,0.0,5.0
25.7,45.0,22.5,7.0,0.0,0.0,0.0,0.0,5.0
24.5,50.0,21.944445,15.0,0.0,0.0,0.0,1.0,3.9
11.8,28.0,22.5,12.0,0.0,0.0,0.0,0.0,4.5
4.1,24.0,22.5,13.0,0.0,0.0,0.0,0.0,5.4
4.2,29.0,22.0,17.0,0.0,0.0,0.0,0.0,5.6
4.2,29.0,22.0,18.0,0.0,0.0,0.0,1.0,3.9
16.0,40.0,22.0,10.0,0.0,0.0,0.0,0.0,4.0
22.9,29.0,22.11111,21.0,0.0,0.0,0.0,0.0,4.0
16.0,42.0,22.0,8.0,0.0,0.0,0.0,0.0,3.8
15.4,50.0,22.0,14.0,0.0,0.0,0.0,0.0,4.5
16.0,41.0,22.0,12.0,0.0,0.0,0.0,0.0,3.8
4.2,32.0,22.0,18.0,0.0,0.0,0.0,0.0,5.6
101.9,75.0,22.0,18.0,0.0,0.0,0.0,0.0,5.2
93.9,88.0,23.0,18.0,0.0,1.0,0.0,1.0,4.8
25.7,50.0,22.0,10.0,1.0,0.0,1.0,0.0,4.9
16.0,40.0,22.0,10.0,1.0,0.0,0.0,0.0,4.1
16.1,32.0,22.0,19.0,1.0,0.0,0.0,0.0,4.5
16.0,40.0,22.0,7.0,1.0,1.0,1.0,0.0,4.4
16.0,41.0,22.0,11.0,1.0,0.0,0.0,0.0,4.5
24.7,26.0,22.0,10.0,1.0,0.0,0.0,0.0,4.5
16.0,42.0,22.0,8.0,1.0,0.0,0.0,0.0,3.9
15.4,43.0,22.0,16.0,1.0,0.0,0.0,0.0,4.6
16.0,40.0,22.0,8.0,1.0,0.0,0.0,0.0,3.8
32.1,50.0,22.0,16.0,1.0,0.0,0.0,0.0,4.5
25.9,40.0,22.0,14.0,1.0,0.0,0.0,0.0,4.4
48.6,44.0,22.0,12.0,1.0,0.0,0.0,0.0,4.3
37.2,45.0,22.0,20.0,1.0,0.0,0.0,1.0,4.0
28.8,35.0,22.0,15.0,1.0,0.0,0.0,1.0,3.9
6.7,30.0,22.0,17.0,1.0,0.0,0.0,0.0,5.0
7.4,25.0,22.0,18.0,1.0,0.0,0.0,1.0,4.1
17.3,22.0,22.0,25.0,1.0,0.0,0.0,1.0,4.1
6.6,43.0,22.0,16.0,1.0,0.0,0.0,0.0,5.6
14.3,26.0,22.0,20.0,1.0,0.0,0.0,0.0,4.1
13.3,33.0,22.0,18.0,1.0,0.0,0.0,0.0,4.6
8.3,26.0,22.0,23.0,1.0,0.0,0.0,0.0,4.9
12.7,39.0,22.0,27.0,1.0,0.0,0.0,1.0,4.5
16.5,47.0,22.0,14.0,1.0,0.0,0.0,0.0,4.1
20.6,38.0,22.0,21.0,1.0,0.0,0.0,0.0,4.1
16.3,58.0,22.0,16.0,1.0,0.0,0.0,0.0,4.5
18.7,65.0,25.0,18.0,1.0,1.0,0.0,1.0,4.2
36.5,54.0,23.0,18.0,1.0,0.0,0.0,1.0,3.9
19.0,35.0,22.0,15.0,1.0,1.0,0.0,1.0,5.0
16.6,46.0,22.0,5.0,1.0,1.0,0.0,0.0,4.4
29.9,32.0,22.0,18.0,1.0,1.0,0.0,0.0,4.5
16.0,42.0,22.0,11.0,1.0,0.0,0.0,0.0,3.8
21.1,33.0,22.0,10.0,1.0,0.0,1.0,0.0,5.1
16.0,40.0,22.0,10.0,1.0,0.0,0.0,0.0,3.9
11.9,34.0,22.0,13.0,1.0,0.0,0.0,0.0,5.3
10.1,35.0,22.0,16.0,1.0,0.0,0.0,0.0,4.2
31.9,33.0,22.0,16.0,1.0,0.0,0.0,0.0,4.3
18.7,60.0,22.0,13.0,1.0,0.0,0.0,0.0,4.0
10.8,48.0,22.0,17.0,1.0,0.0,0.0,1.0,4.7
19.8,56.0,22.0,17.0,1.0,0.0,0.0,1.0,4.0
11.3,38.0,22.0,17.0,1.0,0.0,0.0,0.0,4.3
11.5,53.0,22.0,15.0,1.0,0.0,0.0,0.0,5.3
21.4,51.0,22.0,13.0,1.0,0.0,0.0,0.0,5.2
32.0,53.0,22.0,15.0,1.0,0.0,0.0,0.0,4.9
41.9,53.0,22.0,14.0,1.0,0.0,0.0,0.0,4.7
25.5,27.0,22.0,27.0,1.0,0.0,0.0,1.0,3.6
16.6,52.0,22.0,15.0,1.0,0.0,1.0,0.0,4.2
25.9,43.0,22.0,24.0,1.0,0.0,0.0,0.0,4.1
16.5,48.0,22.0,15.0,1.0,0.0,0.0,0.0,4.0
22.1,29.0,22.0,26.0,1.0,0.0,0.0,0.0,3.9
16.6,49.0,22.0,17.0,0.0,0.0,0.0,0.0,3.7
15.4,43.0,22.0,24.0,0.0,0.0,0.0,0.0,4.5
16.5,43.0,22.0,17.0,0.0,0.0,0.0,0.0,3.9
15.4,21.0,22.0,24.0,0.0,0.0,0.0,0.0,5.1
18.4,59.0,22.0,24.0,0.0,0.0,0.0,0.0,4.2
39.5,58.0,22.0,25.0,0.0,0.0,0.0,0.0,4.2
21.5,47.0,25.0,27.0,0.0,1.0,0.0,1.0,4.8
4.8,26.0,25.0,18.0,0.0,0.0,0.0,0.0,4.7
100.9,87.0,23.5,22.0,0.0,0.0,0.0,0.0,4.7
129.7,58.0,24.0,21.0,0.0,0.0,0.0,0.0,4.6
16.6,43.0,21.5,16.0,0.0,0.0,0.0,0.0,3.8
15.4,50.0,21.5,21.0,0.0,0.0,0.0,0.0,4.2
16.0,45.0,22.0,17.0,0.0,0.0,0.0,0.0,3.7
16.0,41.0,22.0,15.0,0.0,0.0,0.0,0.0,4.2
15.4,45.0,22.0,24.0,0.0,0.0,0.0,0.0,4.1
16.0,43.0,22.0,16.0,0.0,0.0,0.0,0.0,4.0
21.0,37.0,22.0,21.0,0.0,0.0,0.0,0.0,3.8
15.4,47.0,22.0,24.0,0.0,0.0,0.0,0.0,3.8
16.0,42.0,22.0,17.0,0.0,0.0,0.0,0.0,3.8
16.1,30.0,25.0,16.0,0.0,1.0,1.0,0.0,5.1
16.0,42.0,22.0,15.0,0.0,0.0,0.0,0.0,4.0
15.4,40.0,22.0,18.0,0.0,0.0,0.0,0.0,4.8
17.2,35.0,22.0,16.0,0.0,0.0,0.0,0.0,3.9
16.6,50.0,22.0,25.0,0.0,0.0,0.0,0.0,4.6
18.3,46.0,22.0,16.0,1.0,0.0,0.0,0.0,4.3
16.1,36.0,22.0,18.0,1.0,0.0,1.0,0.0,4.8
16.0,46.0,22.0,17.0,1.0,0.0,0.0,0.0,4.1
16.3,35.0,22.0,23.0,1.0,0.0,0.0,0.0,4.0
16.0,44.0,22.0,16.0,1.0,0.0,0.0,0.0,3.7
18.3,46.0,22.0,23.0,1.0,0.0,0.0,0.0,4.3
4.5,23.0,22.0,23.0,1.0,0.0,0.0,1.0,5.2
17.0,48.0,22.0,16.0,1.0,0.0,0.0,0.0,4.2
6.1,35.0,24.5,18.0,1.0,0.0,0.0,0.0,5.0
6.1,33.0,22.0,24.0,1.0,0.0,0.0,1.0,5.0
17.3,36.0,22.0,22.0,1.0,0.0,0.0,0.0,4.2
6.0,27.0,22.0,17.0,1.0,0.0,0.0,0.0,4.8
16.0,45.0,22.0,15.0,1.0,0.0,0.0,0.0,4.1
15.4,55.0,22.0,18.0,1.0,0.0,0.0,0.0,4.9
15.4,39.0,22.0,23.0,1.0,0.0,0.0,0.0,4.3
16.0,35.0,22.0,18.0,1.0,0.0,0.0,0.0,3.9
15.4,52.0,22.0,26.0,1.0,0.0,0.0,0.0,4.5
16.6,48.0,25.5,30.0,1.0,1.0,0.0,1.0,4.1
15.4,48.0,25.5,31.0,1.0,1.0,0.0,0.0,5.0
16.0,43.0,22.0,21.0,1.0,1.0,0.0,0.0,4.0
15.4,42.0,22.0,30.0,1.0,0.0,0.0,0.0,4.5
16.0,43.0,22.0,19.0,1.0,0.0,0.0,0.0,3.6
20.9,33.0,22.0,21.0,1.0,0.0,0.0,0.0,4.1
32.1,47.0,22.0,26.0,1.0,0.0,0.0,0.0,3.9
15.3,16.0,24.0,27.0,1.0,1.0,0.0,0.0,6.6
28.5,44.0,25.0,23.0,1.0,1.0,0.0,0.0,4.0
11.9,33.0,25.0,19.0,1.0,0.0,0.0,0.0,3.7
14.5,36.0,25.0,22.0,1.0,0.0,0.0,0.0,4.3
16.6,49.0,22.0,26.0,1.0,0.0,0.0,1.0,4.1
16.2,39.0,24.5,17.0,1.0,1.0,0.0,0.0,4.4
16.7,44.0,24.5,23.0,1.0,0.0,0.0,1.0,3.8
8.3,52.0,24.5,27.0,1.0,0.0,0.0,0.0,5.0
5.5,33.0,24.5,28.0,1.0,0.0,0.0,1.0,3.7
13.6,33.0,24.5,28.0,1.0,0.0,0.0,1.0,3.7
16.0,39.0,24.5,18.0,1.0,0.0,0.0,0.0,3.7
16.1,38.0,25.0,31.0,1.0,1.0,0.0,0.0,4.3
16.0,45.0,25.0,19.0,1.0,0.0,0.0,0.0,3.8
15.4,42.0,25.0,31.0,1.0,1.0,0.0,0.0,4.6
14.7,25.0,25.0,30.0,1.0,1.0,0.0,0.0,5.0
